title,price,link
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/Cloud Grey/1.58Kg), 82VG00J5IN  ",11990,https://amazon.in//sspa/click?ie=UTF8&spc=MToyNzg5ODMyOTI0ODE1MjI0OjE3MzA2MjIzMTA6c3BfbXRmOjMwMDEyNTczMDE1NTUzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82VG00J5IN%2Fdp%2FB0CRB4VWYH%2Fref%3Dsr_1_76_sspa%3Fcrid%3D3KGG6TUG73VEH%26dib%3DeyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730622310%26sprefix%3Dlaptop%252Caps%252C464%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"(Refurbished) Dell Precision 7520 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen, 16 GB Ram & 256 GB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Nvidia Quadro M2200 (4GB Graphic Card) Laptop  ",12648,https://amazon.in//sspa/click?ie=UTF8&spc=MToyNzg5ODMyOTI0ODE1MjI0OjE3MzA2MjIzMTA6c3BfbXRmOjMwMDE0NTgyMzAxNTMzMjo6MDo6&url=%2FRefurbished-Dell-Precision-7520-Intel%2Fdp%2FB0CLY9NKYX%2Fref%3Dsr_1_75_sspa%3Fcrid%3D3KGG6TUG73VEH%26dib%3DeyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730622310%26sprefix%3Dlaptop%252Caps%252C464%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell Alienware m18 R1, Core i9-13980HX| NVIDIA RTX 4090, 16GB|64GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|18.0"" (45.72cm)|Dark Metallic Moon|2.72Kg|Gaming Laptop  ",12990,https://amazon.in//Dell-Alienware-i9-13980HX-Processor-Metallic/dp/B0C9F1VXCJ/ref=sr_1_73?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-73
Acer Predator Helios Neo 16 Gaming Laptop 14th Gen Intel Core i9 Processor (Windows 11 Home/16 GB/1 TB SSD/NVIDIA GeForce RTX 4070) PHN16-72 with 40.64 cm (16") WQXGA Display  ,12990,https://amazon.in//Acer-Predator-Processor-Windows-PHN16-72/dp/B0CXPW7BRZ/ref=sr_1_74?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-74
"HP Laptop 245 G9 (2024), AMD Ryzen 3 3250U Dual Core - (16GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Silver/1.47 kg/MS Office 2021 Pro Plus  ",14530,https://amazon.in//HP-Laptop-245-G9-Ryzen/dp/B0DJCZB7QS/ref=sr_1_71?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-71
"Dell XPS 16 9640 Laptop, AI Enabled Processor Intel Core Ultra 7 155H, 32Gb + 1TB SSD,NVIDIA RTX 4060 8 GB GDDR6,16.3"" (40.64cm) UHD+ OLED Touch 400 nits,Backlit KB+FPR,Win 11 + MSO'21,Platinum,2.13kg  ",14530,https://amazon.in//Dell-Enabled-Processor-40-64cm-Platinum/dp/B0D2DP88SY/ref=sr_1_72?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-72
HP 15 Core i3 13th Gen (8GB RAM/512GB SSD/FHD/15.6" (39.6 cm)/Windows 11/MS Office 21/Silver/1.59 kg) fd0006TU Laptop  ,14990,https://amazon.in//HP-Windows-Office-Silver-fd0006TU/dp/B0C3RF3HT3/ref=sr_1_70?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-70
"Dell XPS 9640 Laptop, AI Enabled Intel Core Ultra 9 185H, 32GB LPDDR5X & 1TB SSD, Win 11 + MSO'21, NVIDIA RTX 4060,8 GB GDDR6,16.3"" (41.4cm) UHD+ OLED Touch 400 nits, Backlit KB + FPR,Platinum, 2.13kg  ",15499,https://amazon.in//Dell-Enabled-LPDDR5X-Backlit-Platinum/dp/B0D4YQVTK1/ref=sr_1_69?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-69
"HP Pavilion 14 12th Gen Intel Core i7 16GB SDRAM/1TB SSD 14 inch(35.6cm) FHD,IPS,Micro-Edge Display/Intel Iris Xe Graphics/B&O/Win 11/Backlit KB/FPR/MSO 2021/Natural Silver,14-dv2015TU  ",15548,https://amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2015TU/dp/B0B1MBFJJ2/ref=sr_1_68?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-68
"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ",16168,https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_67?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA&dib_tag=se&keywords=laptop&qid=1730622310&sprefix=laptop%2Caps%2C464&sr=8-67
